date,room_type,country,bookings,adr,revenue
2023-07-27,Suite,Italy,69,121.13,8357.97
2023-07-28,Standard,Saudi Arabia,29,179.31,5199.99
2023-07-29,Standard,Italy,24,176.68,4240.32
2023-07-30,Standard,Egypt,42,97.87,4110.54
2023-07-31,Standard,Italy,29,174.34,5055.86
2023-08-01,Suite,Italy,63,55.55,3499.6499999999996
2023-08-02,Standard,Germany,21,139.44,2928.24
2023-08-03,Deluxe,Germany,32,84.5,2704.0
2023-08-04,Deluxe,Germany,59,68.09,4017.3100000000004
2023-08-05,Deluxe,Italy,21,61.54,1292.34
2023-08-06,Suite,UK,84,154.44,12972.96
2023-08-07,Standard,Italy,82,100.98,8280.36
2023-08-08,Standard,UK,92,158.72,14602.24
2023-08-09,Standard,UK,36,59.8,2152.7999999999997
2023-08-10,Suite,Germany,28,97.29,2724.1200000000003
2023-08-11,Deluxe,Saudi Arabia,94,130.92,12306.48
2023-08-12,Deluxe,Egypt,34,168.61,5732.740000000001
2023-08-13,Standard,Germany,43,97.81,4205.83
2023-08-14,Deluxe,Germany,57,143.88,8201.16
2023-08-15,Deluxe,Saudi Arabia,54,182.9,9876.6
2023-08-16,Suite,Egypt,68,142.38,9681.84
2023-08-17,Suite,Italy,88,84.94,7474.719999999999
2023-08-18,Suite,Italy,81,53.66,4346.46
2023-08-19,Suite,Germany,79,180.51,14260.289999999999
2023-08-20,Standard,Egypt,69,53.19,3670.1099999999997
2023-08-21,Suite,Germany,97,181.21,17577.37
2023-08-22,Deluxe,UK,94,129.34,12157.960000000001
2023-08-23,Standard,Germany,28,190.86,5344.08
2023-08-24,Deluxe,Germany,53,169.82,9000.46
2023-08-25,Deluxe,Italy,95,199.69,18970.55
2023-08-26,Deluxe,Italy,54,102.61,5540.94
2023-08-27,Suite,Italy,20,165.08,3301.6000000000004
2023-08-28,Suite,UK,59,110.29,6507.110000000001
2023-08-29,Standard,Italy,83,121.98,10124.34
2023-08-30,Standard,Egypt,41,144.13,5909.33
2023-08-31,Suite,Saudi Arabia,79,181.05,14302.95
2023-09-01,Deluxe,Egypt,83,197.61,16401.63
2023-09-02,Standard,Egypt,91,165.24,15036.84
2023-09-03,Suite,Italy,30,112.67,3380.1
2023-09-04,Suite,Saudi Arabia,33,113.2,3735.6
2023-09-05,Suite,Saudi Arabia,79,160.64,12690.56
2023-09-06,Deluxe,Saudi Arabia,49,85.82,4205.179999999999
2023-09-07,Suite,UK,54,66.57,3594.7799999999997
2023-09-08,Suite,Italy,56,103.19,5778.639999999999
2023-09-09,Suite,Saudi Arabia,24,93.09,2234.16
2023-09-10,Suite,UK,97,94.45,9161.65
2023-09-11,Standard,Germany,45,85.04,3826.8
2023-09-12,Standard,Germany,81,56.31,4561.110000000001
2023-09-13,Suite,UK,23,52.68,1211.64
2023-09-14,Deluxe,UK,61,198.16,12087.76
2023-09-15,Standard,Italy,37,114.17,4224.29
2023-09-16,Suite,Italy,59,107.65,6351.35
2023-09-17,Standard,Germany,91,151.95,13827.449999999999
2023-09-18,Standard,Saudi Arabia,58,82.74,4798.92
2023-09-19,Deluxe,Germany,33,192.49,6352.17
2023-09-20,Suite,Saudi Arabia,51,167.95,8565.449999999999
2023-09-21,Suite,Saudi Arabia,70,63.41,4438.7
2023-09-22,Deluxe,Italy,57,112.64,6420.4800000000005
2023-09-23,Deluxe,Egypt,42,181.87,7638.54
2023-09-24,Suite,Egypt,82,191.71,15720.220000000001
2023-09-25,Suite,UK,34,120.11,4083.74
2023-09-26,Deluxe,Italy,44,142.01,6248.44
2023-09-27,Standard,Saudi Arabia,36,75.06,2702.16
2023-09-28,Standard,Egypt,85,198.68,16887.8
2023-09-29,Deluxe,Saudi Arabia,97,84.75,8220.75
2023-09-30,Standard,Egypt,72,191.41,13781.52
2023-10-01,Deluxe,Egypt,70,147.45,10321.5
2023-10-02,Standard,Egypt,58,141.16,8187.28
2023-10-03,Standard,Italy,70,126.9,8883.0
2023-10-04,Suite,Germany,89,84.6,7529.4
2023-10-05,Suite,Saudi Arabia,25,76.48,1912.0
2023-10-06,Standard,Italy,86,83.07,7144.0199999999995
2023-10-07,Standard,Italy,26,77.97,2027.22
2023-10-08,Suite,Italy,70,166.94,11685.8
2023-10-09,Suite,Italy,91,102.52,9329.32
2023-10-10,Suite,Italy,61,58.68,3579.48
2023-10-11,Deluxe,UK,83,195.37,16215.710000000001
2023-10-12,Standard,Saudi Arabia,34,182.57,6207.38
2023-10-13,Suite,Italy,48,189.16,9079.68
2023-10-14,Standard,Saudi Arabia,52,199.24,10360.48
2023-10-15,Deluxe,UK,46,76.08,3499.68
2023-10-16,Deluxe,UK,55,109.44,6019.2
2023-10-17,Suite,Saudi Arabia,48,163.74,7859.52
2023-10-18,Deluxe,Egypt,57,154.4,8800.800000000001
2023-10-19,Standard,Germany,76,73.08,5554.08
2023-10-20,Suite,Egypt,46,172.37,7929.02
2023-10-21,Standard,Egypt,74,83.67,6191.58
2023-10-22,Standard,Egypt,52,83.57,4345.639999999999
2023-10-23,Deluxe,Italy,87,130.55,11357.85
2023-10-24,Deluxe,UK,85,138.94,11809.9
2023-10-25,Deluxe,Egypt,29,137.01,3973.29
2023-10-26,Deluxe,UK,24,63.72,1529.28
2023-10-27,Deluxe,Saudi Arabia,93,181.62,16890.66
2023-10-28,Suite,Germany,57,89.84,5120.88
2023-10-29,Standard,Saudi Arabia,32,69.43,2221.76
2023-10-30,Standard,Saudi Arabia,50,183.31,9165.5
2023-10-31,Standard,Italy,66,193.35,12761.1
2023-11-01,Standard,Germany,71,179.32,12731.72
2023-11-02,Deluxe,Saudi Arabia,75,171.43,12857.25
2023-11-03,Standard,Saudi Arabia,34,148.29,5041.86
2023-11-04,Suite,Germany,48,132.63,6366.24
2023-11-05,Suite,Germany,27,63.05,1702.35
2023-11-06,Standard,Saudi Arabia,24,111.27,2670.48
2023-11-07,Standard,Germany,48,105.9,5083.200000000001
2023-11-08,Suite,Saudi Arabia,66,88.96,5871.36
2023-11-09,Suite,Saudi Arabia,87,158.51,13790.369999999999
2023-11-10,Deluxe,Italy,95,124.38,11816.1
2023-11-11,Suite,Egypt,64,62.16,3978.24
2023-11-12,Deluxe,Saudi Arabia,21,83.03,1743.63
2023-11-13,Deluxe,UK,46,152.49,7014.540000000001
2023-11-14,Deluxe,Egypt,55,61.42,3378.1
2023-11-15,Deluxe,Egypt,55,177.68,9772.4
2023-11-16,Deluxe,Egypt,45,124.27,5592.15
2023-11-17,Standard,Italy,62,122.09,7569.58
2023-11-18,Suite,Saudi Arabia,46,138.86,6387.56
2023-11-19,Deluxe,Italy,88,173.7,15285.599999999999
2023-11-20,Suite,Saudi Arabia,39,102.17,3984.63
2023-11-21,Suite,Italy,30,151.7,4551.0
2023-11-22,Deluxe,Italy,93,134.86,12541.980000000001
2023-11-23,Standard,UK,57,90.05,5132.849999999999
2023-11-24,Deluxe,Italy,25,181.79,4544.75
2023-11-25,Standard,Germany,91,169.61,15434.510000000002
2023-11-26,Suite,UK,42,148.77,6248.34
2023-11-27,Standard,Italy,66,177.59,11720.94
2023-11-28,Standard,Egypt,65,180.09,11705.85
2023-11-29,Standard,Germany,31,156.25,4843.75
2023-11-30,Suite,Germany,32,175.55,5617.6
2023-12-01,Suite,Germany,81,154.62,12524.220000000001
2023-12-02,Standard,UK,79,152.02,12009.58
2023-12-03,Standard,Italy,62,142.79,8852.98
2023-12-04,Deluxe,Italy,95,162.91,15476.449999999999
2023-12-05,Standard,Egypt,87,73.79,6419.7300000000005
2023-12-06,Deluxe,Egypt,24,182.13,4371.12
2023-12-07,Standard,Germany,56,180.78,10123.68
2023-12-08,Deluxe,Egypt,91,54.39,4949.49
2023-12-09,Suite,UK,50,173.87,8693.5
2023-12-10,Standard,Italy,28,69.33,1941.24
2023-12-11,Standard,Germany,70,100.27,7018.9
2023-12-12,Standard,Egypt,48,161.53,7753.4400000000005
2023-12-13,Standard,UK,97,74.11,7188.67
2023-12-14,Deluxe,UK,59,172.7,10189.3
2023-12-15,Standard,Egypt,60,174.82,10489.199999999999
2023-12-16,Suite,Italy,30,126.12,3783.6000000000004
2023-12-17,Suite,Egypt,42,50.96,2140.32
2023-12-18,Standard,Germany,20,93.06,1861.2
2023-12-19,Suite,Egypt,65,142.54,9265.1
2023-12-20,Standard,UK,40,197.18,7887.200000000001
2023-12-21,Standard,Egypt,55,144.77,7962.35
2023-12-22,Suite,Italy,73,88.97,6494.8099999999995
2023-12-23,Standard,Saudi Arabia,76,145.1,11027.6
2023-12-24,Suite,Egypt,20,131.0,2620.0
2023-12-25,Deluxe,Italy,82,166.98,13692.359999999999
2023-12-26,Standard,Italy,73,66.05,4821.65
2023-12-27,Deluxe,UK,74,164.15,12147.1
2023-12-28,Suite,Italy,59,131.19,7740.21
2023-12-29,Deluxe,Italy,34,194.45,6611.299999999999
2023-12-30,Deluxe,Italy,40,101.28,4051.2
2023-12-31,Suite,Italy,66,144.89,9562.74
